CLST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1997-01-01,30,22,14,11,9,7,67,46,29,1020,1017,1012,10,8,5,130,14,,0.00,1,,154
1997-01-02,30,22,14,11,8,5,72,43,22,1016,1014,1012,,,,34,13,,0.00,,,152
1997-01-03,32,22,13,10,8,5,72,39,21,1015,1013,1010,9,8,6,29,10,,0.00,0,,162
1997-01-04,30,21,13,8,5,3,55,34,19,1015,1012,1010,,,,37,13,,0.00,,,167
1997-01-05,29,20,11,8,5,2,62,40,22,1018,1016,1014,8,7,6,35,11,,0.00,0,,167
1997-01-06,27,20,13,9,8,6,72,46,30,1015,1014,1012,10,10,9,32,10,,0.00,5,,166
1997-01-07,27,20,14,5,2,-2,45,30,18,1018,1016,1013,10,9,6,32,13,,0.00,4,,142
1997-01-08,32,20,9,7,3,-2,58,32,20,1018,1016,1013,7,6,5,26,10,,0.00,0,,166
1997-01-09,33,23,13,9,7,5,63,37,18,1015,1013,1011,9,8,8,35,10,,0.00,0,,174
1997-01-10,31,22,13,11,8,6,77,44,23,1015,1014,1012,9,8,7,37,13,,0.00,0,,159
1997-01-11,31,21,12,9,8,6,77,43,21,1015,1014,1013,10,9,6,29,13,,0.00,0,,164
1997-01-12,29,22,15,11,9,6,72,46,27,1016,1015,1013,10,10,10,29,10,,0.00,1,,156
1997-01-13,28,20,12,11,8,5,77,48,31,1017,1015,1014,10,7,3,37,10,,0.00,0,,168
1997-01-14,30,20,11,10,7,5,76,43,25,1019,1016,1014,10,10,10,27,10,,0.00,1,,153
1997-01-15,32,22,13,10,8,6,67,40,22,1017,1015,1013,8,7,5,32,10,,0.00,0,,176
1997-01-16,32,23,14,10,9,8,72,41,22,1015,1013,1011,9,8,7,26,11,,0.00,0,,167
1997-01-17,30,22,15,10,9,4,67,43,29,1016,1014,1013,10,9,7,40,13,,0.00,3,,155
1997-01-18,31,21,12,10,7,5,72,42,19,1017,1014,1012,8,8,8,26,13,,0.00,0,,168
1997-01-19,31,22,14,10,8,4,72,40,25,1016,1014,1013,10,9,8,34,11,,0.00,1,,161
