IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1997-01-01,20,16,11,12,11,8,88,70,52,1023,1022,1020,9,8,7,27,13,,0.00,0,,355
1997-01-02,22,14,7,12,9,6,100,79,41,1024,1022,1020,8,6,3,27,5,,0.00,0,,56
1997-01-03,21,13,7,10,8,5,100,72,43,1022,1020,1019,9,8,6,19,8,,0.00,0,,93
1997-01-04,22,13,6,11,8,4,93,74,38,1020,1019,1018,8,7,7,14,5,,0.00,0,,43
1997-01-05,24,14,5,8,5,2,87,70,34,1020,1019,1017,8,8,8,13,6,,0.00,0,,114
1997-01-06,24,16,8,11,7,3,76,56,36,1017,1016,1015,9,9,8,19,8,,0.00,5,,300
1997-01-07,20,17,13,14,10,7,82,67,49,1016,1015,1014,9,8,7,23,8,,0.00,7,Rain,106
1997-01-08,26,17,8,10,8,6,93,59,30,1017,1015,1014,9,9,9,19,5,,0.00,6,,219
1997-01-09,21,17,14,12,9,2,82,59,32,1018,1015,1011,10,10,8,29,16,,0.00,4,Rain,200
1997-01-10,21,16,12,14,12,10,94,75,53,1020,1019,1018,10,10,6,27,6,,0.00,3,Rain,40
1997-01-11,22,14,7,13,9,5,94,76,49,1019,1018,1017,8,8,8,19,6,,0.00,0,,142
1997-01-12,29,18,8,11,7,3,94,55,23,1017,1016,1014,9,8,7,27,8,47,0.00,0,,69
1997-01-13,24,19,15,18,11,4,94,58,29,1017,1015,1013,5,4,3,26,18,,0.00,7,Rain-Thunderstorm,254
1997-01-14,18,17,17,17,16,14,100,92,77,1016,1015,1013,10,7,3,13,8,,0.00,6,Rain,194
1997-01-15,15,,15,11,11,11,77,77,77,1012,1012,1012,10,10,10,13,13,,0.00,6,,60
1997-01-16,12,,12,11,11,11,94,94,94,1010,1010,1010,10,10,10,23,23,,0.00,6,,140
1997-01-17,16,11,7,10,8,6,100,77,55,1019,1017,1015,10,10,10,24,14,,0.00,4,,196
1997-01-18,18,12,6,8,6,4,93,74,45,1022,1020,1019,10,10,10,23,6,,0.00,2,,98
1997-01-19,19,12,6,8,5,3,100,68,37,1019,1018,1016,,,,27,6,,0.00,,,101
1997-01-20,19,13,8,11,8,5,87,72,52,1021,1018,1017,10,10,10,16,6,,0.00,4,,178
1997-01-21,18,13,8,10,8,4,87,73,56,1024,1022,1021,10,10,10,24,10,,0.00,4,,120
1997-01-22,14,12,10,12,9,7,100,86,72,1023,1019,1014,10,9,6,27,13,47,0.00,6,Rain-Thunderstorm,147
1997-01-23,14,11,9,10,8,6,94,86,72,1016,1014,1013,10,10,9,27,14,,0.00,5,Rain-Thunderstorm,171
1997-01-24,17,11,6,9,8,5,100,75,52,1024,1021,1017,10,10,10,23,6,,0.00,1,,31
1997-01-25,17,12,8,11,8,3,93,79,39,1024,1022,1021,10,10,10,23,8,,0.00,3,,191
1997-01-26,16,12,9,12,9,7,88,81,68,1020,1017,1016,10,10,10,208,27,,0.00,6,Rain,179
1997-01-27,14,12,11,12,11,10,100,89,77,1018,1016,1015,10,8,6,26,14,,0.00,6,Rain,140
1997-01-28,16,13,10,12,10,8,100,87,68,1020,1018,1016,10,8,4,19,3,,0.00,6,Rain,359
1997-01-29,16,13,10,9,6,3,82,64,52,1020,1019,1017,10,10,10,19,11,,0.00,6,,91
1997-01-30,17,12,7,11,8,6,94,86,63,1019,1018,1016,10,9,7,40,14,60,0.00,4,Rain,164
1997-01-31,14,10,5,10,6,4,94,78,54,1026,1022,1017,10,10,10,40,18,52,0.00,3,Rain,37
1997-02-01,13,8,4,6,3,2,87,75,54,1026,1024,1022,10,10,10,27,13,,0.00,4,,118
1997-02-02,15,11,7,8,6,4,87,71,58,1022,1019,1017,10,10,10,32,18,,0.00,3,,166
1997-02-03,13,11,9,11,9,6,100,89,71,1017,1016,1011,10,9,4,34,24,,0.00,6,Rain-Thunderstorm,182
1997-02-04,13,10,8,9,7,4,93,76,58,1023,1020,1017,10,9,3,52,29,71,0.00,5,Rain,276
1997-02-05,9,7,6,5,3,0,87,72,57,1028,1026,1024,10,10,10,37,19,,0.00,6,Rain,358
1997-02-06,13,8,3,3,2,0,87,71,47,1029,1028,1027,10,10,10,32,14,,0.00,3,,62
1997-02-07,15,9,3,2,1,-1,87,61,34,1029,1027,1025,,,,27,13,,0.00,,,48
1997-02-08,16,8,1,3,1,-1,93,59,31,1025,1024,1023,,,,19,5,,0.00,,,49
1997-02-09,16,9,2,5,3,1,93,72,45,1024,1022,1020,10,10,10,24,6,,0.00,1,,93
1997-02-10,15,9,4,8,5,2,93,75,55,1023,1020,1019,10,10,8,27,8,,0.00,3,,47
1997-02-11,16,10,4,9,6,4,100,83,59,1025,1024,1023,10,10,10,19,8,,0.00,3,,155
1997-02-12,18,11,5,10,7,4,100,80,52,1025,1024,1023,10,10,10,26,10,,0.00,2,,148
1997-02-13,18,12,6,11,8,4,100,81,56,1024,1022,1021,10,10,10,26,8,,0.00,2,,103
1997-02-14,18,12,7,11,9,7,100,83,59,1023,1022,1021,10,10,10,24,8,,0.00,2,,157
1997-02-15,20,14,8,10,8,7,100,77,52,1022,1022,1020,10,10,8,21,8,,0.00,1,,151
1997-02-16,24,16,7,13,9,6,93,75,38,1022,1020,1018,,,,26,5,,0.00,1,,122
1997-02-17,22,14,8,15,11,5,100,81,50,1017,1015,1013,9,6,0,24,8,,0.00,1,Fog,185
1997-02-18,19,16,13,14,13,11,100,85,68,1018,1016,1014,10,7,0,35,18,,0.00,4,Fog,192
1997-02-19,21,14,9,12,11,9,100,80,56,1018,1016,1014,10,9,7,19,6,,0.00,2,,93
1997-02-20,19,14,9,12,9,6,88,71,52,1013,1012,1010,10,9,6,34,14,47,0.00,4,,175
1997-02-21,14,12,9,11,9,8,100,89,77,1013,1011,1008,10,8,4,64,35,93,0.00,5,Rain-Hail-Thunderstorm,215
1997-02-22,12,10,8,11,8,6,100,92,82,1017,1013,1011,10,8,5,64,40,111,0.00,6,Rain-Thunderstorm,200
1997-02-23,16,12,9,11,9,7,100,86,63,1018,1016,1015,10,9,6,50,27,69,0.00,5,Rain-Thunderstorm,239
1997-02-24,15,13,10,9,8,6,94,72,59,1022,1020,1018,10,10,10,32,23,,0.00,4,Rain-Thunderstorm,271
1997-02-25,13,9,6,8,7,6,100,85,67,1025,1023,1021,10,9,5,34,16,47,0.00,4,Rain-Thunderstorm,71
1997-02-26,15,10,5,10,7,5,100,87,67,1024,1022,1020,10,10,9,37,13,55,0.00,4,Rain,166
1997-02-27,18,17,15,11,11,11,77,70,64,1023,1022,1022,10,10,10,24,21,,0.00,4,,267
1997-02-28,19,13,8,12,9,7,94,80,52,1024,1022,1021,10,10,9,26,11,,0.00,3,,82
1997-03-01,21,13,7,14,10,6,100,80,52,1020,1018,1016,9,9,9,23,6,,0.00,4,,57
1997-03-02,20,14,8,15,11,7,100,87,68,1015,1012,1010,10,7,3,32,11,,0.00,5,,173
